,Language,Word Entropy,hemisphere,subject,model,accuracy
0,French,Low,Right,sub-003,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.3220472869584967e-05
1,French,Low,Left,sub-003,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.6576676379148062e-05
2,French,Low,Right,sub-020,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.7033165310545367e-05
3,French,Low,Left,sub-020,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.3937344271719505e-05
4,French,Low,Right,sub-001,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,7.135256169312808e-06
5,French,Low,Left,sub-001,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.3005015865525152e-05
6,French,Low,Right,sub-004,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,1.054755634666217e-05
7,French,Low,Left,sub-004,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-3.454838872751836e-06
8,French,Low,Right,sub-021,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.6768854966631704e-05
9,French,Low,Left,sub-021,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,4.945548932069181e-07
10,French,Low,Right,sub-009,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-5.718367283500384e-06
11,French,Low,Left,sub-009,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-3.4465121628061656e-05
12,French,Low,Right,sub-011,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.5884460602844588e-06
13,French,Low,Left,sub-011,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-3.85706249527875e-05
14,French,Low,Right,sub-018,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.0936935606572026e-05
15,French,Low,Left,sub-018,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.4839718594371329e-05
16,French,Low,Right,sub-019,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,5.394076231664875e-06
17,French,Low,Left,sub-019,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.4657542233910893e-05
18,French,Low,Right,sub-023,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,4.077725886625515e-06
19,French,Low,Left,sub-023,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,6.714249259232236e-06
20,French,Low,Right,sub-010,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,7.493022557091368e-05
21,French,Low,Left,sub-010,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.3599954297551357e-05
22,French,Low,Right,sub-008,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,7.009357431886797e-05
23,French,Low,Left,sub-008,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-4.867084962668304e-05
24,French,Low,Right,sub-025,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,6.258527263510627e-05
25,French,Low,Left,sub-025,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.0003020928376223033
26,French,Low,Right,sub-028,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,8.000976121834324e-05
27,French,Low,Left,sub-028,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,1.0781310374363306e-05
28,French,Low,Right,sub-027,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-5.670458663972103e-05
29,French,Low,Left,sub-027,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-4.6968825223032976e-05
30,French,Low,Right,sub-014,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,6.142995883847487e-05
